customer_id,age,gender,subscription_length_months,monthly_charge,total_charges,contract_type,payment_method,paperless_billing,tech_support,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,internet_service_type,phone_service,multiple_lines,internet_service,avg_monthly_gb_download,avg_monthly_gb_download_6_months,avg_monthly_gb_download_12_months,monthly_usage_gb,overage_fees,roaming_charges,international_plan,voice_mail_plan,number_vmail_messages,number_customer_service_calls,number_calls_placed,number_calls_received,total_minutes_used,total_data_used_gb,avg_call_duration_minutes,avg_call_duration_6_months,avg_call_duration_12_months,payment_delay_days,late_payment_count,missed_payment_count,contract_renewal_days,days_since_last_upgrade,days_since_last_downgrade,days_since_last_complaint,complaint_count,positive_feedback_count,negative_feedback_count,social_media_mentions,satisfaction_score,churn
1,56,M,15,73.43,1532.85,One year,Credit card,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL,No,No,No,171.3,41.1,190.2,103.0,11.17,5.08,Yes,Yes,49,13,62,33,968,43.5,13.5,3.2,5.9,29,1,2,726,146,67,32,7,4,0,9,3,Yes
2,69,M,53,129.18,430.47,Two year,Credit card,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,DSL,No,Yes,No,98.1,151.0,97.1,2456.0,1.66,10.08,No,Yes,42,6,1,36,2338,65.2,11.6,2.8,3.0,15,1,0,899,94,38,37,1,1,2,0,9,Yes
3,46,F,7,137.0,2528.09,Month-to-month,Credit card,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,43.3,160.8,93.2,601.0,25.14,16.25,No,No,31,9,44,48,2033,20.5,6.6,13.5,10.8,22,3,0,218,328,79,12,6,0,1,0,2,Yes
4,32,M,9,65.94,3982.85,Month-to-month,Credit card,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,DSL,Yes,No,Yes,33.9,110.6,130.9,1738.0,15.7,14.88,No,No,6,8,95,41,2979,47.0,12.8,11.4,2.3,5,1,0,111,386,163,48,4,2,4,9,1,Yes
5,60,M,51,50.79,3550.08,Two year,Credit card,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,DSL,No,Yes,Yes,0.0,97.7,20.7,1400.0,9.02,11.82,No,Yes,22,1,42,13,1165,98.0,8.8,9.2,5.2,27,0,2,987,37,134,72,9,4,0,1,10,No
6,25,F,48,121.47,298.62,Two year,Bank transfer,Yes,No,No,Yes,No,No,No,No,Yes,Yes,DSL,No,Yes,No,143.6,22.8,50.7,1260.0,37.5,10.79,No,No,22,7,97,81,767,19.5,3.8,3.9,9.4,27,2,2,927,197,84,89,5,4,1,5,10,No
7,78,M,8,55.72,410.86,Two year,Bank transfer,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,22.2,16.8,183.8,2669.0,10.22,8.55,Yes,No,45,0,0,32,2359,63.6,14.1,8.8,10.0,6,4,1,996,240,65,52,3,1,0,5,9,No
8,38,M,50,126.94,2044.22,One year,Credit card,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,DSL,No,No,No,48.8,67.9,134.0,1312.0,34.38,19.45,Yes,Yes,17,19,84,97,645,57.6,3.5,16.0,11.7,23,4,2,410,172,54,0,4,2,0,8,7,Yes
9,56,M,59,75.09,1511.69,Month-to-month,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Fiber optic,Yes,No,Yes,59.6,62.2,2.7,226.0,17.46,11.2,Yes,No,6,1,60,91,25,56.5,4.6,17.9,14.4,8,0,0,751,492,71,11,4,3,1,9,10,No
10,75,M,23,106.78,1200.3,Two year,Electronic check,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,DSL,Yes,No,No,112.1,190.7,40.9,2840.0,25.59,5.08,No,No,41,6,2,99,1934,61.5,16.5,14.3,1.9,9,2,1,358,255,41,23,6,1,1,3,1,Yes
11,36,M,29,32.42,1440.97,One year,Credit card,No,No,No,Yes,No,No,Yes,No,No,No,DSL,Yes,No,Yes,79.6,156.7,136.6,2762.0,46.69,4.6,Yes,Yes,39,15,90,86,2302,50.2,13.5,2.1,2.5,4,1,2,101,454,154,0,3,1,4,7,4,Yes
12,40,F,18,101.1,4027.24,Month-to-month,Electronic check,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,134.9,132.0,152.9,2053.0,1.87,12.23,No,No,23,3,43,16,1758,1.7,13.0,13.7,2.2,26,0,1,162,40,129,67,4,3,1,3,10,Yes
13,28,M,31,78.73,4649.68,One year,Bank transfer,Yes,No,Yes,No,Yes,Yes,No,No,No,No,DSL,Yes,No,No,11.1,103.5,168.0,1404.0,25.01,10.46,No,No,13,16,6,74,1079,90.0,8.9,5.6,9.0,20,1,1,599,408,69,6,3,3,4,2,3,Yes
14,28,M,30,96.26,2055.26,Month-to-month,Bank transfer,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Fiber optic,No,Yes,Yes,24.8,33.5,58.4,279.0,42.72,0.15,No,No,49,3,32,31,2340,82.7,8.5,7.0,1.8,3,3,2,490,472,131,91,3,3,0,3,7,No
15,41,M,52,41.84,4535.25,One year,Electronic check,Yes,No,No,Yes,No,Yes,No,No,No,No,DSL,No,Yes,No,99.8,195.7,186.2,2372.0,29.4,16.6,No,No,4,2,8,78,636,17.4,14.1,4.7,15.2,10,2,0,154,433,20,68,7,3,1,0,5,No
16,70,M,39,115.79,1641.4,Month-to-month,Bank transfer,Yes,No,No,No,No,No,Yes,No,No,No,Fiber optic,Yes,No,Yes,67.4,75.0,110.6,226.0,13.84,14.08,No,No,45,8,29,67,229,41.3,15.1,15.7,5.2,18,4,0,1064,128,0,38,4,3,4,8,9,Yes
17,53,M,35,132.16,2408.36,Month-to-month,Credit card,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,DSL,Yes,No,No,59.2,21.4,139.3,206.0,19.88,13.24,No,Yes,21,14,17,38,2100,77.1,10.7,13.3,18.8,28,0,1,970,53,165,31,8,0,4,4,3,Yes
18,57,F,18,48.18,1168.84,One year,Electronic check,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,13.4,98.8,119.3,1612.0,34.01,1.38,Yes,Yes,21,19,55,93,100,98.0,19.4,12.6,10.2,6,4,2,56,85,59,48,4,0,2,6,6,Yes
